# Report

name | result
[th06::ItemManager::ItemManager](#user-content-th06____itemmanager____itemmanager) | 55.71%
[th06::ItemManager::SpawnItem](#user-content-th06____itemmanager____spawnitem) | 99.60%
[th06::ItemManager::OnUpdate](#user-content-th06____itemmanager____onupdate) | 97.37%
[th06::ItemManager::OnDraw](#user-content-th06____itemmanager____ondraw) | 99.27%
th06::ItemManager::RemoveAllItems | 100.00%
th06::MainMenu::MainMenu | 100.00%
[th06::MainMenu::AddedCallback](#user-content-th06____mainmenu____addedcallback) | 96.59%
[th06::MainMenu::DeletedCallback](#user-content-th06____mainmenu____deletedcallback) | 98.62%
[th06::MainMenu::ReleaseTitleAnm](#user-content-th06____mainmenu____releasetitleanm) | 99.17%
[th06::MainMenu::BeginStartup](#user-content-th06____mainmenu____beginstartup) | 98.93%
[th06::MainMenu::ChoosePracticeLevel](#user-content-th06____mainmenu____choosepracticelevel) | 98.92%
[th06::MainMenu::LoadTitleAnm](#user-content-th06____mainmenu____loadtitleanm) | 90.37%
[th06::MainMenu::LoadDiffCharSelect](#user-content-th06____mainmenu____loaddiffcharselect) | 35.38%
[th06::MainMenu::DrawStartMenu](#user-content-th06____mainmenu____drawstartmenu) | 97.70%
[th06::MainMenu::ReplayHandling](#user-content-th06____mainmenu____replayhandling) | 99.16%
[th06::MainMenu::MoveCursor](#user-content-th06____mainmenu____movecursor) | 98.35%
[th06::MainMenu::DrawMenuItem](#user-content-th06____mainmenu____drawmenuitem) | 94.96%
[th06::MainMenu::DrawReplayMenu](#user-content-th06____mainmenu____drawreplaymenu) | 97.60%
[th06::MainMenu::OnUpdate](#user-content-th06____mainmenu____onupdate) | 98.02%
[th06::MainMenu::OnDraw](#user-content-th06____mainmenu____ondraw) | 99.74%
[th06::MainMenu::RegisterChain](#user-content-th06____mainmenu____registerchain) | 98.06%
[th06::MainMenu::WeirdSecondInputCheck](#user-content-th06____mainmenu____weirdsecondinputcheck) | 99.19%
[th06::MainMenu::OnUpdateOptionsMenu](#user-content-th06____mainmenu____onupdateoptionsmenu) | 94.14%
[th06::MainMenu::ColorMenuItem](#user-content-th06____mainmenu____colormenuitem) | 97.43%
[th06::MainMenu::LoadReplayMenu](#user-content-th06____mainmenu____loadreplaymenu) | 97.63%
th06::MainMenu::SwapMapping | 100.00%
th06::MidiDevice::MidiDevice | 100.00%
[th06::MidiDevice::Close](#user-content-th06____mididevice____close) | 99.61%
[th06::MidiDevice::OpenDevice](#user-content-th06____mididevice____opendevice) | 99.34%
[th06::MidiDevice::SendShortMsg](#user-content-th06____mididevice____sendshortmsg) | 99.84%
[th06::MidiDevice::SendLongMsg](#user-content-th06____mididevice____sendlongmsg) | 99.54%
th06::MidiDevice::~MidiDevice | 100.00%
[th06::MidiOutput::MidiOutput](#user-content-th06____midioutput____midioutput) | 99.77%
th06::MidiOutput::LoadTracks | 100.00%
[th06::MidiOutput::ClearTracks](#user-content-th06____midioutput____cleartracks) | 99.90%
[th06::MidiOutput::ParseFile](#user-content-th06____midioutput____parsefile) | 99.89%
th06::MidiOutput::LoadFile | 100.00%
[th06::MidiOutput::OnTimerElapsed](#user-content-th06____midioutput____ontimerelapsed) | 91.06%
th06::MidiOutput::Play | 100.00%
[th06::MidiOutput::UnprepareHeader](#user-content-th06____midioutput____unprepareheader) | 99.34%
[th06::MidiOutput::ReadFileData](#user-content-th06____midioutput____readfiledata) | 99.27%
th06::MidiOutput::ReleaseFileData | 100.00%
th06::MidiOutput::StopPlayback | 100.00%
th06::MidiOutput::SetFadeOut | 100.00%
[th06::MidiOutput::ProcessMsg](#user-content-th06____midioutput____processmsg) | 89.46%
[th06::MidiOutput::FadeOutSetVolume](#user-content-th06____midioutput____fadeoutsetvolume) | 99.97%
th06::MidiOutput::Ntohs | 100.00%
th06::MidiOutput::SkipVariableLength | 100.00%
[th06::MidiOutput::~MidiOutput](#user-content-th06____midioutput____~midioutput) | 82.68%
[th06::MidiTimer::MidiTimer](#user-content-th06____miditimer____miditimer) | 99.21%
[th06::MidiTimer::~MidiTimer](#user-content-th06____miditimer____~miditimer) | 87.78%
[th06::MidiTimer::StartTimer](#user-content-th06____miditimer____starttimer) | 99.53%
[th06::MidiTimer::StopTimer](#user-content-th06____miditimer____stoptimer) | 99.39%
